Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2023,60.0,186.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Herning",2024,,167.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2015,86.0,75.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2016,82.0,76.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2017,66.0,81.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2018,57.0,68.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2019,49.0,87.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2020,49.0,58.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2021,96.0,78.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2022,51.0,65.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2023,44.0,60.0,,
Erhvervsakademier,Erhvervsakademi MidtVest,"Erhvervsakademi MidtVest, Holstebro",2024,,60.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2015,229.0,326.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2016,183.0,395.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2017,202.0,396.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2018,178.0,394.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2019,162.0,372.0,,
Erhvervsakademier,Erhvervsakademi SydVest,"Erhvervsakademi SydVest, Esbjerg",2020,182.0,378.0,,
